# id:22-22-22-0 
0.14,-0.13,-1
-0.46,-0.1,1
-0.07,0.26,1
-0.85,0.66,1
-0.25,0.78,1
-0.92,-0.58,1
0.45,-0.58,-1
0.66,-0.22,1
-0.59,0.82,1
0.47,0.36,1
0.15,-0.5,-1
0.98,0.04,1
0.47,0.97,1
-0.39,-0.88,-1
-0.37,-0.13,1
-0.91,-0.05,1
0.8,-0.61,-1
-0.78,-0.96,-1
-0.58,-0.54,-1
0.31,0.94,1
-0.7,0.08,1
-0.84,0.06,1
-0.07,-0.48,-1
-0.04,0.13,1
-0.36,0.76,1
-0.91,0.86,1
0.98,0.66,1
-0.72,0.88,1
0.38,-0.7,-1
-0.72,0.61,1
-0.45,0.91,1
0.32,-0.93,-1
0.13,0.01,1
-0.1,0.97,1
-0.21,-0.39,-1
0.55,-0.3,1
0.25,-0.32,-1
0.35,-0.03,1
0.5,-0.66,-1
-0.88,-0.38,1
-0.33,0.18,1
-0.7,-0.5,1
-0.01,0.63,1
-0.81,-0.48,1
-0.46,0.31,1
-0.36,-0.14,1
-0.4,-0.9,-1
-0.79,0.46,1
0.71,-0.04,1
0.5,0.08,1
-0.11,0.75,1
-0.81,-0.96,-1
0.58,0.03,1
0.97,0.23,1
-0.68,0.77,1
0.29,-0.59,-1
-0.04,0.01,-1
0.32,0.23,1
-0.36,-0.07,1
-0.7,-0.58,1
-0.41,0.32,1
-0.94,0.51,1
-0.97,0.09,1
0.63,0.05,1
0.76,0.38,1
0.19,-0.33,-1
0.48,0.63,1
0.88,-0.06,1
0.73,0.59,1
-0.47,0.89,1
-0.59,-0.53,-1
-0.96,-0.46,1
0.72,-0.43,1
-0.58,-0.81,-1
-0.65,0.96,1
-0.94,0.14,1
-0.83,-0.39,1
0.31,-0.52,-1
0.67,-0.8,-1
-0.04,-0.27,-1
-0.32,0.15,1
0.72,0.19,1
-0.73,-0.09,1
0.91,0.33,1
-0.41,0.69,1
-0.35,0.75,1
0.38,0.93,1
0.73,0.24,1
0.03,-0.1,-1
0.92,0.87,1
-0.32,-0.45,-1
0.93,-0.74,1
0.72,-0.46,1
-0.94,-0.56,1
-0.38,0.03,1
0.12,0.68,1
-0.24,0.05,1
0.01,-0.22,-1
0.74,0.82,1
-0.32,0.74,1
-0.65,-0.58,-1
0.18,-0.65,-1
0.19,-0.94,-1
-0.89,-0.88,1
-0.63,-0.26,1
-0.69,0.87,1
-1,-0.38,1
0.64,0.63,1
-0.51,0.37,1
-0.74,-0.96,-1
0.9,-0.6,1
-0.93,0.58,1
-0.48,-0.23,-1
0.51,-0.12,1
-0.06,0.25,1
0.4,0.57,1
0.53,0.58,1
-0.28,0.21,1
-0.31,0.7,1
-0.52,0.96,1
-1,0.86,1
0.95,0.93,1
-0.77,-0.55,1
-0.42,0.96,1
0.06,-0.1,1
-0.72,-0.71,-1
0.37,0.83,1
0.08,-0.46,-1
-0.59,0.23,1
0.12,0.71,1
0.88,0.71,1
0.03,0.66,1
0.76,0.89,1
0.26,-0.53,-1
0.64,0.53,1
0.27,0.82,1
-0.54,0.19,1
0.24,-0.73,-1
0.21,-0.31,-1
-0.12,0.81,1
-0.49,0.69,1
1,-0.29,1
0.41,-0.53,-1
0.26,0.73,1
0.08,0.37,1
0.79,-0.36,1
-0.21,0.1,1
0.62,-0.66,-1
-0.01,0.55,1
0.59,-0.57,-1
0.9,-0.05,1
0.91,-0.05,1
0.58,-0.65,-1
0.13,0.62,1
0.16,-0.3,-1
-0.29,-0.51,-1
-0.93,0.29,1
-0.37,-0.1,1
0.46,0.9,1
-0.03,0.48,1
-0.71,0.37,1
0.3,0.28,1
0.01,-0.14,-1
0.2,1,1
0.12,0.15,1
-0.6,0.86,1
-0.68,0.94,1
0.35,-0.44,-1
-0.29,-0.98,-1
0.63,-0.01,1
-0.03,0.28,1
0.28,-0.42,-1
-0.48,0.6,1
-0.87,-0.21,1
0.37,0.92,1
0.3,-0.69,-1
0.72,-0.37,1
0.42,0.98,1
-0.98,-0.31,1
-0.48,-0.69,-1
-0.5,0.29,1
0.87,-0.44,1
-0.51,0.08,1
0.99,0.22,1
0.48,-0.42,-1
-0.9,0.88,1
-0.41,0.6,1
0.02,0.01,1
-1,0.03,1
0.01,0.56,1
0.01,-0.94,-1
-0.71,0.93,1
-0.85,-0.58,1
0.62,-0.59,-1
0.87,0.89,1
-0.98,1,1
-0.51,-0.41,-1
0.6,0.61,1
-0.31,0.62,1
-0.54,-0.38,1
-0.45,0.64,1
0.93,0.94,1
0.86,-0.91,-1
-0.13,0.71,1
0.11,0.57,1
0.94,0.59,1
-0.37,-0.92,-1
-0.07,0.69,1
-0.77,-0.63,-1
-0.43,-0.17,1
-0.53,0.39,1
-0.56,0.31,1
-0.67,0.17,1
-0.36,-0.97,-1
0.38,0.15,1
1,0.08,1
-0.4,0.72,1
0.82,-0.35,1
-0.37,-0.12,1
0.07,0.46,1
-0.88,0.94,1
-0.17,-0.63,-1
0.46,-0.3,-1
-0.82,0.35,1
-0.4,-0.28,-1
-0.4,-0.29,-1
-0.82,0.32,1
0.86,0.14,1
0.21,0.78,1
-0.07,-0.16,-1
0.49,-0.03,1
0.43,0.8,1
-0.32,0.26,1
0.1,0.44,1
0.55,-0.96,-1
0.15,-0.36,-1
0.84,-0.17,1
-0.78,-0.32,1
0.27,0.9,1
0.2,-0.17,-1
-0.41,-0.69,-1
0.93,0.75,1
0.63,-0.57,-1
-0.97,0.53,1
0.8,0.08,1
-0.73,-0.78,-1
0.48,-0.95,-1
1,-0.72,1
0.65,0.56,1
0.08,-0.24,-1
0.35,0.35,1
-0.41,0.28,1
0.63,-0.1,1
0.92,-0.07,1
0.64,-0.28,1
0.4,0,1
0.81,-0.53,1
0.04,-0.54,-1
-0.04,-0.89,-1
-0.23,0.2,1
0.42,-0.46,-1
-0.63,0.13,1
0.07,-0.24,-1
-0.79,-0.33,1
-0.13,-0.69,-1
-0.39,0.72,1
-0.42,0.52,1
-0.4,-0.44,-1
-0.09,0.53,1
-0.23,-0.71,-1
0.4,0.72,1
0.37,-0.92,-1
-0.38,0.16,1
-0.23,0.37,1
0.86,-0.76,-1
0.66,-0.15,1
-0.55,0.43,1
0.73,-0.97,-1
0.46,-0.06,1
0.31,0.72,1
-0.65,0.11,1
0.95,-0.52,1
-0.34,0.1,1
-0.87,0.88,1
-0.72,0.73,1
-0.25,0.38,1
-0.08,0.84,1
-0.39,0.56,1
-0.14,0.02,1
-0.36,-0.68,-1
-0.29,-0.32,-1
-0.5,-0.38,-1
-0.64,0.28,1
0.39,0.42,1
0.78,0.71,1
-0.6,-0.55,-1
0.89,0.38,1
-0.21,0.99,1
0.74,-0.15,1
0.62,0.49,1
0.21,-0.8,-1
0.91,-0.3,1
0.09,0.06,-1
0.37,-0.55,-1
0.53,-0.77,-1
0.42,-0.37,-1
-0.31,-0.49,-1
0.8,0.31,1
-0.53,0.04,1
-0.85,-0.35,1
-0.83,0.86,1
-0.13,0.76,1
-0.82,-0.16,1
-0.22,-0.79,-1
-0.19,0.75,1
-0.46,0.17,1
-0.27,0.86,1
-0.71,0.66,1
0.85,-0.88,-1
-0.76,-0.72,-1
-0.87,-0.55,1
-0.79,0.32,1
0,0.51,1
-0.15,-0.71,-1
0.15,0.1,1
0.68,0.65,1
-0.17,-0.63,-1
-0.49,-0.33,1
0.49,-0.48,-1
0.51,-0.23,-1
-0.82,-0.1,1
-0.3,0.12,1
-0.01,-0.89,-1
-0.88,-0.04,1
0.47,-0.9,-1
-0.44,0.79,1
-0.18,-0.38,-1
-0.07,0.13,1
-0.3,-0.38,-1
-0.4,-0.87,-1
-0.22,-0.69,-1
0.42,0.02,1
0.38,-1,-1
-0.16,-0.88,-1
-0.4,0.6,1
0.47,-0.85,-1
0.97,-0.02,1
-0.16,0.91,1
-0.61,-0.39,-1
-0.55,0.21,1
0.29,1,1
0.02,0.42,1
0.88,-0.2,1
-0.16,0.65,1
-0.23,-0.76,-1
-0.19,0.72,1
-0.37,0.68,1
0.07,-0.48,-1
-0.36,-0.09,1
-0.16,0.36,1
0.16,-0.35,-1
0.8,0.68,1
0.45,0.55,1
0.1,-0.62,-1
-0.12,0.16,1
-0.74,0.98,1
0.8,-0.4,1
-0.69,0.68,1
-0.27,-0.68,-1
0.77,0.16,1
-0.99,-0.68,1
-0.74,-0.89,-1
0.93,0.56,1
-0.62,-0.35,1
-0.52,0.54,1
-0.16,0.8,1
-0.1,0.6,1
-0.36,0.91,1
-0.1,-0.36,-1
-0.94,-0.59,1
-0.4,-0.57,-1
0.78,-0.31,1
-0.37,-0.39,-1
0.04,0,-1
0.83,0.49,1
0.78,-0.68,1
0.7,0.22,1
-0.78,0.86,1
-0.58,-0.24,1
-0.04,-0.18,-1
-0.35,0.42,1
-0.34,0.2,1
-0.21,0.84,1
-0.53,-0.13,1
-0.19,-0.31,-1
-0.31,-0.54,-1
-0.64,-0.84,-1
0.64,-0.62,-1
-0.19,-0.19,-1
-0.36,0.77,1
-0.12,-0.58,-1
0.55,0.09,1
-0.09,0.88,1
-0.11,-0.65,-1
0.88,0.16,1
-0.66,0.86,1
0.13,-0.79,-1
0.14,0.85,1
0.01,-0.34,-1
0.65,0.31,1
0.1,-0.82,-1
0.98,0.74,1
-0.96,-0.36,1
0.96,0.54,1
-0.27,0.41,1
-0.8,0.75,1
-0.86,-0.12,1
-0.76,-0.99,-1
-0.27,0.03,1
-0.98,-0.32,1
0.09,0.78,1
-0.43,0.75,1
0.14,0.8,1
0.59,0.75,1
-0.62,-0.52,-1
